County Name,Doug Jones,Roy S. Moore,Write-In
Autauga,38.33686658004513,59.85091978390207,1.7301511317787048
Baldwin,35.30453370768593,61.32948345723128,2.710334045879463
Barbour,57.294099330530905,42.020862525299705,0.6383309979760237
Bibb,29.933142311365806,68.74880611270297,1.2607449856733524
Blount,16.92112854429044,81.76317455850278,1.2664462112150847
Bullock,80.26043208049718,19.414027818881326,0.20716188221367268
Butler,50.997549877493874,48.232411620581026,0.7175358767938397
Calhoun,43.87016978374124,54.596904164011846,1.495446197668753
Chambers,55.7202833901863,43.400682235633695,0.8790343741800053
Cherokee,27.062999112688555,70.91393078970718,1.9343389529724933
Chilton,23.005305836420064,75.63319651616779,1.3214535989588547
Choctaw,53.60849056603774,45.966981132075475,0.0
Clarke,51.86776464971954,47.54744002864304,0.513187731232844
Clay,27.232513132430192,71.4957146806746,1.2164777439867294
Cleburne,19.21708185053381,79.74765448075057,0.9705596894208994
Coffee,31.01001669449082,67.21202003338898,1.686143572621035
Colbert,46.375734648382085,52.435317165439436,1.1551712490711343
Conecuh,55.1513671875,44.3115234375,0.439453125
Coosa,42.693236714975846,56.3707729468599,0.9057971014492754
Covington,23.306353254241046,75.67357800199579,0.975717928816942
Crenshaw,35.43624161073826,63.006711409395976,1.5033557046979866
Cullman,19.705087478071214,78.71604001706889,1.5362002749988146
Dale,35.02278942570647,63.701002734731084,1.2397447584320875
Dallas,74.70806038165765,24.814867559099973,0.4272287097692965
DeKalb,25.61168681635003,72.66119746689695,1.6839378238341969
Elmore,34.32144923665821,64.14296523790448,1.504428717674812
Escambia,41.76706827309237,57.20022948938612,0.9982788296041308
Etowah,39.16589089555018,58.43604542915658,2.2975237385961647
Fayette,24.375667022411953,74.51440768409819,1.0672358591248665
Franklin,29.324055666003975,69.81444665341286,0.7952286282306164
Geneva,18.861574480538483,79.47029558091893,1.3608428446005267
Greene,87.54914809960681,12.110091743119266,0.23591087811271297
Hale,69.26360725720384,30.07826396300249,0.5691924581999288
Henry,38.303030303030305,60.888888888888886,0.7676767676767676
Houston,37.63378652010414,61.14302243894376,1.1777346171329395
Jackson,30.7920059215396,67.69059955588453,1.4248704663212435
Jefferson,68.05704116048629,30.181473912271677,1.688658677020132
Lamar,21.23773173391494,77.61723009814612,0.7906215921483097
Lauderdale,42.93638412203155,55.360547755243545,1.655399549315306
Lawrence,36.00903793554525,63.194196694018316,0.7254132477107861
Lee,57.40365111561866,40.61721240220226,1.947261663286004
Limestone,39.31246163290362,58.514426028238184,2.107632494372826
Lowndes,78.81126173096976,20.604796663190825,0.0
Macon,88.06948042053939,11.549596221240286,0.30473868657626085
Madison,56.62837628065818,39.940149711959705,2.9718168960640243
Marengo,60.90785907859079,37.99457994579946,0.8401084010840109
Marion,19.7083583884546,79.19422730006013,1.0222489476849068
Marshall,26.431219110378912,71.19028006589785,2.3115733113673804
Mobile,56.30749192738719,42.26250237429789,1.3920169321357827
Monroe,49.39850768996498,49.885792599360435,0.6091061367443277
Montgomery,72.26129598248428,26.550995006223474,1.1142270143814765
Morgan,35.4112525987526,62.32783264033264,2.16995841995842
Perry,78.96326119778561,20.65928535480624,0.27679919476597886
Pickens,50.39564787339268,48.81305637982196,0.7583250906693043
Pike,48.386705482775355,50.38816108685104,1.1766132945172247
Randolph,34.209462191670035,65.28507885159725,0.4650222401940962
Russell,64.74813254165869,34.68684160122582,0.526719019344953
Shelby,41.655457046774686,55.67716294711097,2.6261082237847755
St. Clair,27.507760532150776,70.40354767184036,2.035476718403548
Sumter,80.87594588397157,18.665443705572116,0.41274936941068563
Talladega,50.07787770687836,48.726322664924886,1.1204341054112446
Tallapoosa,38.36509528585757,59.93814777666332,1.2370444667335339
Tuscaloosa,57.19316454757757,40.89409496978908,1.8664047151277015
Walker,26.176327916565608,72.21076885762794,1.570458404074703
Washington,34.63611859838275,63.91990758567578,0.9241432422025414
Wilcox,76.67966062829626,22.907590002293052,0.36688832836505386
Winston,16.081200353045013,82.61253309796999,1.1827007943512797
